Celsius       fahrenheit      |  fahrenheit    Celsius
40.0          104.0           |  120.0         48.9
39.0          102.2           |  110.0         43.3
38.0          100.4           |  100.0         37.8
37.0          98.6            |  90.0          32.2
36.0          96.8            |  80.0          26.7
35.0          95.0            |  70.0          21.1
34.0          93.2            |  60.0          15.6
33.0          91.4            |  50.0          10.0
32.0          89.6            |  40.0          4.4
31.0          87.8            |  30.0          -1.1   
